ocupacao,percentual_corrigido_2023,percentual_corrigido_2024,valor_corrigido_2023,valor_corrigido_2024,ano,valor
317,0.0006226704414947039,0.0006201549020692561,46952193.32050119,51078084.3531552,2024,39208288.01
318,9.862999227136961e-05,9.269510998648218e-05,7437151.590508368,7634687.12609771,2024,5860498.01
319,0.00040783788746061057,0.0004179838153083261,30752838.19400357,34426580.3677999,2024,26426348.9
320,1.0496047477553758e-05,4.020984905093586e-06,791449.8865311154,331182.1054382273,2024,254220.25
321,0.00010532753119571346,8.525525526398325e-05,7942176.594734537,7021915.178600337,2024,5390125.26
322,0.0012116545768702917,0.0011466775675456238,91364285.40645266,94444296.61933938,2024,72496829.7
323,3.739774339573204e-05,3.698269739722354e-05,2819960.5451832614,3046021.7777197245,2024,2338171.07
324,0.00037803995675938904,0.00034512980307255,28505938.213532034,28426074.091016166,2024,21820272.12
325,1.9208044943401427e-05,1.6800487061863553e-05,1448374.2593057228,1383745.72619943,2024,1062183.55
328,3.379173272710632e-06,4.305073646763972e-06,254805.08819869807,354580.6283917736,2024,272181.3
341,3.1565545698475814e-05,2.5678621141953732e-05,2380186.2191246427,2114979.293697419,2024,1623489.18
342,0.0003171448368631176,0.0003546617230001831,23914168.231996544,29211155.70286287,2024,22422912.3
351,0.0017941001614166384,0.0016716941686122286,135283340.9162122,137686464.2561794,2024,105690152.91
352,0.00010580066312882359,0.00011373568856180507,7977852.901989725,9367661.329354938,2024,7190754.47
353,0.0001353442598419662,0.00012210865460385585,10205574.938912839,10057287.524931172,2024,7720121.67
354,0.01568983887296357,0.016477718623477057,1183085463.5761056,1357161410.7849555,2024,1041777038.9
355,0.0010076322848911977,0.001130832854148118,75980073.37978359,93139271.68965013,2024,71495073.39
371,5.790869802318424e-05,4.3135625319516165e-05,4366580.141489175,3552798.0208568773,2024,2727179.96
372,0.0003838089787897403,0.0004141455732477509,28940948.80595565,34110449.58969312,2024,26183682.27
373,2.1010876621020264e-05,2.5721866379258256e-05,1584315.9963965192,2118541.1197372396,2024,1626223.29
374,0.00010299010985121649,8.30566642739951e-05,7765924.35675317,6840831.685315042,2024,5251122.91
375,0.00010228166697270611,8.045312197220421e-05,7712504.530193707,6626395.01334138,2024,5086518.17
376,0.00019268297967283348,0.00011705843918788497,14529176.12317081,9641334.465207139,2024,7400829.99
377,0.0002550858877471715,0.0002749864242206383,19234640.215274666,22648824.874959566,2024,17385570.74
391,0.004290769316895475,0.004132265078400621,323543590.69454026,340347522.1108116,2024,261255758.5
410,0.00690290125593036,0.007079846283476692,520510261.3555318,583120417.9281164,2024,447611800.25
420,0.0029143648203710446,0.0027592360509494517,219756409.38416517,227260143.05523264,2024,174448224.81
511,0.00042213717406190253,0.0004192363643189129,31831069.66944903,34529744.599519655,2024,26505539.28
512,0.0015782708000151953,0.0015671223941769322,119008821.9645252,129073574.31893483,2024,99078772.05
513,0.0013842461099039226,0.0013418073648087721,104378474.75037646,110515855.8558543,2024,84833594.7
514,0.000780093234495638,0.0008313684455116766,58822590.431837276,68474356.07895051,2024,52561921.78
515,0.0026240232018464394,0.0025794650450910103,197863326.15183637,212453586.54676926,2024,163082494.49
516,0.00777392510062035,0.0071497974957548316,586189434.8272638,588881839.6461848,2024,452034352.21
517,0.0004578751895930734,0.00048004840743104535,34525879.15820952,39538433.00527917,2024,30350282.09
518,0.016963801999606794,0.015893223351734247,1279148098.02806,1309020375.8685443,2024,1004823273.19
519,0.024554790078085524,0.024966118346079296,1851543246.4131222,2056295120.1335223,2024,1578442346.16
529,0.04375095472121789,0.04005071621412222,3299021676.85374,3298714328.2482014,2024,2532141584.45
610,0.006265364656656201,0.006339634213190136,472437091.8854024,522154013.5037296,2024,400813092.47
620,0.0016298351928754518,0.0021899776744045826,122897012.53965086,180374071.07728046,2024,138457787.09
630,0.0002168033735887063,0.00022674292728114804,16347963.916254664,18675325.03170383,2024,14335453.88
640,0.0003702428350358206,0.0003840705038733872,27917999.647458997,31633363.743390825,2024,24282234.78
710,0.00182797706149424,0.0015986922036690218,137837813.80515274,131673772.08705617,2024,101074722.06
720,0.00037816764075520063,0.00038197872448024966,28515566.1695996,31461077.619497634,2024,24149985.42
730,0.00011582911532832056,0.0001255652175984077,8734043.970327426,10341981.906316547,2024,7938657.26
740,1.8017505374538286e-05,9.417560489897727e-06,1358602.1418774638,775662.5763964668,2024,595409.99
750,0.00011319067697005333,0.00010025925765575034,8535093.675586894,8257696.26691307,2024,6338728.98
