codigo,descricao,categoria,valor_rend_tna_2023,valor_rend_tna_2024,atividade_de_divulgacao_scn_2010,classe_cnae_2_0_4_digitos,consumo_final_contas_nacionais,consumo_intermediaro,2024_0_1,2024_0_2,2024_0_3,ano,valor
342,TÉCNICO EM TRANSPORTES (LOGÍSTICA),"LC 214/2025, art 127",23914168.231996544,29211155.70286287,7380,7490,0.01736158728243161,0.9826384127175684,1072568.2518878141,28704003.673506916,1072568.2518878141,2023,23498980.31294998
351,TÉCNICO DAS CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS,"LC 214/2025, art 127",135283340.9162122,137686464.2561794,6980,6911,0.07745463951812571,0.9225453604818743,24045170.00588472,127022008.80069172,24045170.00588472,2023,124805018.51273929
352,"TÉCNICO DE INSPEÇÃO, FISCALIZAÇÃO E COORDENAÇÃO ADMINISTRATIVA","LC 214/2025, art 127",7977852.901989725,9367661.329354938,7380,7490,0.01736158728243161,0.9826384127175684,243059.62313393853,9205023.859553082,243059.62313393853,2023,7839344.71250543
353,"AGENTE DE BOLSA DE VALORES, CÂMBIO E OUTROS SERVIÇOS FINANCEIROS",,10205574.938912839,10057287.524931172,,,0.5,0.5,1160754.4370332442,5028643.762465586,1160754.4370332442,2023,5102787.469456419
354,"AGENTE E REPRESENTANTE COMERCIAL, CORRETOR, LEILOEIRO E AFINS",,1183085463.5761056,1357161410.7849555,,,0.5,0.5,282192470.0274194,678580705.3924778,282192470.0274194,2023,591542731.7880528
355,CORRETOR E ADMINSTRADOR DE IMÓVEIS,,75980073.37978359,93139271.68965013,,,0.5,0.5,3082202.1989768716,46569635.84482507,3082202.1989768716,2023,37990036.68989179
371,TÉCNICO DE SERVIÇOS CULTURAIS,"LC 214/2025, art 139",4366580.141489175,3552798.0208568773,9080,9002,0.8928112494033851,0.10718875059661492,10285.678545145527,380819.98097777495,10285.678545145527,2023,468048.2697462147
372,"CINEGRAFISTA, FOTÓGRAFO E OUTROS TÉCNICOS EM OPERAÇÃO DE MÁQUINAS DE TRATAMENTO DE DADOS","LC 214/2025, art 139",28940948.80595565,34110449.58969312,5980,6021,0.026901987662782727,0.9730980123372173,853973.3331238907,33192810.695659224,853973.3331238907,2023,28162379.758228604
373,TÉCNICO EM OPERAÇÃO DE ESTAÇÕES DE RÁDIO E TELEVISÃO,"LC 214/2025, art 139",1584315.9963965192,2118541.1197372396,5980,6021,0.026901987662782727,0.9730980123372173,9856.404460521739,2061548.1526709704,9856.404460521739,2023,1541694.7470075109
374,"TÉCNICO EM OPERAÇÃO DE APARELHOS DE SONORIZAÇÃO, CENOGRAFIA E PROJEÇÃO","LC 214/2025, art 139",7765924.35675317,6840831.685315042,5980,6021,0.026901987662782727,0.9730980123372173,244802.80414585982,6656799.715713523,244802.80414585982,2023,7557005.555517692
375,DECORADOR E VITRINISTA,,7712504.530193707,6626395.01334138,,,0.5,0.5,326028.23275672464,3313197.50667069,326028.23275672464,2023,3856252.2650968535
376,"APRESENTADOR, ARTISTAS DE ARTES POPULARES E MODELOS","LC 214/2025, art 139",14529176.12317081,9641334.465207139,5980,6021,0.026901987662782727,0.9730980123372173,220198.02214201307,9381963.404371375,220198.02214201307,2023,14138312.40635487
377,"ATLETA, DESPORTISTA E AFINS",,19234640.215274666,22648824.874959566,,,0.5,0.5,1384194.6996835163,11324412.437479783,1384194.6996835163,2023,9617320.107637333
391,OUTROS TÉCNICOS DE NÍVEL MÉDIO,"LC 214/2025, art 127",323543590.69454026,340347522.1108116,7380,7490,0.01736158728243161,0.9826384127175684,15834602.69234048,334438548.89932543,15834602.69234048,2023,317926360.40502566
410,"BANCÁRIO, ECONOMIÁRIO, ESCRITURÁRIO, SECRETÁRIO, ASSISTENTE E AUXILIAR ADMINISTRATIVO",,520510261.3555318,583120417.9281164,,,0.5,0.5,29760987.158863816,291560208.9640582,29760987.158863816,2023,260255130.6777659
420,"TRABALHADOR DE ATENDIMENTO AO PÚBLICO, CAIXA, DESPACHANTE, RECENSEADOR E AFINS",,219756409.38416517,227260143.05523264,,,0.5,0.5,15999211.336498015,113630071.52761632,15999211.336498015,2023,109878204.69208258
511,"COMISSÁRIO DE BORDO, GUIA DE TURISMO, AGENTE DE VIAGEM E AFINS",,31831069.66944903,34529744.599519655,,,0.5,0.5,1194176.3130564129,17264872.299759828,1194176.3130564129,2023,15915534.834724516
512,TRABALHADOR DOS SERVIÇOS DOMÉSTICOS EM GERAL,,119008821.9645252,129073574.31893483,,,0.5,0.5,138229.33117744906,64536787.159467414,138229.33117744906,2023,59504410.9822626
